timestamp,stock_price,call_price,put_price,delta_call,delta_put,gamma,vega,trans_cost_buy_call,trans_cost_sell_call,trans_cost_buy_put,trans_cost_sell_put
2020-12-28,133.061172,35.666558,0.625253,0.94825811,-0.05174189,0.003983,14.10265,0.035667,0.035667,0.000625,0.000625
2020-12-29,131.289505,33.99307,0.723432,0.94075857,-0.05924143,0.004492,15.484434,0.033993,0.033993,0.000723,0.000723
2020-12-30,130.170044,32.942813,0.792637,0.93553781,-0.06446219,0.004839,16.398646,0.032943,0.032943,0.000793,0.000793
2020-12-31,129.167343,32.007236,0.85976,0.93052241,-0.06947759,0.005168,17.243314,0.032007,0.032007,0.00086,0.00086
2021-01-04,125.974457,29.064419,1.10983,0.9122187,-0.0877813,0.006327,20.08041,0.029064,0.029064,0.00111,0.00111
2021-01-05,127.531982,30.492656,0.980541,0.92161004,-0.07838996,0.00574,18.670075,0.030493,0.030493,0.000981,0.000981
2021-01-06,123.239052,26.594173,1.374989,0.8933935,-0.1066065,0.007459,22.656575,0.026594,0.026594,0.001375,0.001375
2021-01-07,127.444366,30.41193,0.987431,0.92110577,-0.07889423,0.005771,18.748138,0.030412,0.030412,0.000987,0.000987
2021-01-08,128.544357,31.42855,0.90406,0.92723722,-0.07276278,0.00538,17.779878,0.031429,0.031429,0.000904,0.000904
2021-01-11,125.55587,28.683136,1.147133,0.90953601,-0.09046399,0.006492,20.467121,0.028683,0.028683,0.001147,0.001147
2021-01-12,125.380669,28.523884,1.163083,0.90839256,-0.09160744,0.006562,20.629871,0.028524,0.028524,0.001163,0.001163
2021-01-13,127.415184,30.385052,0.989736,0.92093719,-0.07906281,0.005782,18.774174,0.030385,0.030385,0.00099,0.00099
2021-01-14,125.487755,28.621198,1.15331,0.90909291,-0.09090709,0.006519,20.530334,0.028621,0.028621,0.001153,0.001153
2021-01-15,123.764717,27.064819,1.319969,0.89725432,-0.10274568,0.007231,22.153355,0.027065,0.027065,0.00132,0.00132
2021-01-19,124.436409,27.669107,1.252566,0.90201576,-0.09798424,0.006947,21.515477,0.027669,0.027669,0.001253,0.001253
2021-01-20,128.524918,31.410526,0.905475,0.92713257,-0.07286743,0.005387,17.796761,0.031411,0.031411,0.000905,0.000905
2021-01-21,133.236435,35.832813,0.616245,0.94895193,-0.05104807,0.003935,13.97041,0.035833,0.035833,0.000616,0.000616
2021-01-22,135.378006,37.873654,0.515515,0.95678186,-0.04321814,0.003389,12.420782,0.037874,0.037874,0.000516,0.000516
2021-01-25,139.125778,41.481262,0.375352,0.96791818,-0.03208182,0.002585,10.006785,0.041481,0.041481,0.000375,0.000375
2021-01-26,139.359451,41.707509,0.367925,0.96851703,-0.03148297,0.002541,9.868762,0.041708,0.041708,0.000368,0.000368
2021-01-27,138.288635,40.671901,0.403133,0.96568626,-0.03431374,0.002749,10.513194,0.040672,0.040672,0.000403,0.000403
2021-01-28,133.450607,36.036142,0.605402,0.94978848,-0.05021152,0.003877,13.809915,0.036036,0.036036,0.000605,0.000605
2021-01-29,128.456787,31.347372,0.910452,0.92676475,-0.07323525,0.005411,17.856,0.031347,0.031347,0.00091,0.00091
2021-02-01,130.578903,33.325717,0.766681,0.93748977,-0.06251023,0.00471,16.061157,0.033326,0.033326,0.000767,0.000767
2021-02-02,131.406342,34.103015,0.716541,0.9412813,-0.0587187,0.004457,15.390823,0.034103,0.034103,0.000717,0.000717
2021-02-03,130.384216,33.14329,0.778941,0.93656689,-0.06343311,0.004771,16.22135,0.033143,0.033143,0.000779,0.000779
2021-02-04,133.742599,36.313637,0.590905,0.95090925,-0.04909075,0.0038,13.593067,0.036314,0.036314,0.000591,0.000591
2021-02-05,133.328293,35.919998,0.611572,0.94931224,-0.05068776,0.00391,13.901425,0.03592,0.03592,0.000612,0.000612
2021-02-08,133.474487,36.058824,0.604204,0.94988099,-0.05011901,0.003871,13.792095,0.036059,0.036059,0.000604,0.000604
2021-02-09,132.597076,35.226908,0.649699,0.94638008,-0.05361992,0.004111,14.456733,0.035227,0.035227,0.00065,0.00065
2021-02-10,131.992661,34.655663,0.682869,0.94384334,-0.05615666,0.004284,14.926308,0.034656,0.034656,0.000683,0.000683
2021-02-11,131.739182,34.416556,0.697242,0.94274814,-0.05725186,0.004358,15.126049,0.034417,0.034417,0.000697,0.000697
2021-02-12,131.97316,34.637258,0.683965,0.94375975,-0.05624025,0.004289,14.941616,0.034637,0.034637,0.000684,0.000684
2021-02-16,129.847824,32.641617,0.813661,0.93396192,-0.06603808,0.004943,16.667478,0.032642,0.032642,0.000814,0.000814
2021-02-17,127.556808,30.515538,0.978596,0.92175242,-0.07824758,0.005731,18.647984,0.030516,0.030516,0.000979,0.000979
2021-02-18,126.455177,29.503666,1.068356,0.91521529,-0.08478471,0.006141,19.640161,0.029504,0.029504,0.001068,0.001068
