geohash,hour,day_of_week,demand
qp02yc,1,6,0.0053969651097159
qp02yc,2,6,0.019452390987216198
qp02yc,3,6,0.0264223751676618
qp02yc,6,6,0.014583812990146749
qp02yc,7,6,0.012256445456985635
qp02yc,9,6,0.0173624610652884
qp02yc,10,6,0.033974094938511404
qp02yf,11,6,0.0294325672228641
qp02yy,4,6,0.003916465292585
qp02yy,8,6,0.0018866761693395
qp02yz,2,6,0.0162829582440916
qp02yz,3,6,0.0111982284104744
qp02yz,4,6,0.023444019173389702
qp02yz,5,6,0.0435315352782388
qp02yz,6,6,0.0564220630725519
qp02yz,7,6,0.028652659454389166
qp02yz,8,6,0.0287684188838966
qp02yz,9,6,0.0179313103195961
qp02yz,10,6,0.05632039232946848
qp02yz,11,6,0.02828085697440197
qp02yz,12,6,0.0254851384402304
qp02yz,15,6,0.05036394831342015
qp02z1,0,0,0.03619347907306805
qp02z1,0,6,0.0330693491460824
qp02z1,1,0,0.044570702689217
qp02z1,1,6,0.08505680517997655
qp02z1,2,0,0.0649690463496368
qp02z1,2,6,0.058819327115888345
qp02z1,3,6,0.04558498675863268
qp02z1,4,6,0.009995577196556749
qp02z1,5,6,0.020028102503563197
qp02z1,6,6,0.00873384546449375
qp02z1,8,6,0.019275355665691368
qp02z1,12,6,0.0575739874652212
qp02z1,13,6,0.0012173845841896
qp02z3,0,0,0.0302598747774543
qp02z3,1,6,0.01440915078982825
qp02z3,2,6,0.0111752816141808
qp02z3,3,6,0.0017568655196992
qp02z3,4,6,0.0092571996867808
qp02z3,5,6,0.026105362499721597
qp02z3,6,6,0.0395279846311618
qp02z3,7,6,0.021349729244591248
qp02z3,9,6,0.0279934133173811
qp02z3,10,6,0.0301821910065281
qp02z3,11,6,0.0125806121037007
qp02z3,12,6,0.005105535517298543
qp02z3,13,6,0.0119368719679375
qp02z3,14,6,0.0351050729761804
qp02z3,16,6,0.01699562432664777
qp02z3,17,6,0.0154224795804711
qp02z4,3,6,0.0074699949588219
qp02z4,5,6,0.0441335081914785
qp02z4,7,6,0.0019373305363215
qp02z4,11,6,0.0152814977508915
qp02z4,12,6,0.039622000886733864
qp02z4,14,6,0.0066876621716386
qp02z5,0,6,0.01567684789381125
qp02z5,1,6,0.0177820707798015
qp02z5,4,6,0.0330731523154879
qp02z5,5,6,0.03760836224097725
qp02z5,6,6,0.029400766441881228
qp02z5,7,6,0.0209642049394314
qp02z5,8,6,0.059415618230152296
qp02z5,9,6,0.0692447767645682
qp02z5,10,6,0.016036368288136024
qp02z5,11,6,0.03317554267739242
qp02z5,12,6,0.021269385289882065
qp02z5,13,6,0.0514584863804301
qp02z5,14,6,0.073956847875635
qp02z6,0,0,0.0037411548612907
qp02z6,0,6,0.0105925954423684
qp02z6,1,0,0.0042631320194453
qp02z6,1,6,0.0066619711328481
qp02z6,2,6,0.0703051042500913
qp02z6,3,6,0.02392947584421045
qp02z6,4,6,0.018323018168063233
qp02z6,5,6,0.06628531839982282
qp02z6,6,6,0.0343496433818595
qp02z6,7,6,0.0621593828720035
qp02z6,8,6,0.0852498178534236
qp02z6,9,6,0.0475758768192387
qp02z6,10,6,0.02491156649891693
qp02z6,11,6,0.027999863093688404
qp02z6,12,6,0.05429462542401756
qp02z6,13,6,0.03799267494004867
qp02z6,14,6,0.0116021348211308
qp02z7,1,0,0.0013608642472016
qp02z7,3,6,0.0077073895506832
qp02z7,4,6,0.0750867796325445
qp02z7,5,6,0.019581957600116967
qp02z7,6,6,0.019323270771720132
qp02z7,7,6,0.030509926561747266
qp02z7,8,6,0.0403563695250955
qp02z7,9,6,0.045746348250048974
qp02z7,10,6,0.0199534740482514
qp02z7,11,6,0.07265875220137147
qp02z7,12,6,0.038644526167157627
qp02z7,13,6,0.0199925108707554
qp02z7,15,6,0.0103919007634394
qp02z9,0,0,0.01348774595510175
qp02z9,1,0,0.01396488616330925
qp02z9,1,6,0.020763415734545147
qp02z9,2,0,0.0175889857394525
qp02z9,2,6,0.0055191362256101
qp02z9,4,6,0.0086841525515179
qp02z9,5,6,0.0116411198082789
qp02z9,6,6,0.0050141147774571
qp02z9,7,6,0.03974165659447045
qp02z9,8,6,0.03774982267185113
qp02z9,9,6,0.049818377553063745
